Sucursal,Hora,Cantidad
CULIACAN UNIVERSITARIOS,10:50:00,3
CULIACAN UNIVERSITARIOS,11:00:00,3
CULIACAN UNIVERSITARIOS,11:10:00,3
CULIACAN UNIVERSITARIOS,11:20:00,3
CULIACAN UNIVERSITARIOS,11:30:00,3
CULIACAN UNIVERSITARIOS,11:40:00,3
CULIACAN UNIVERSITARIOS,11:50:00,3
CULIACAN UNIVERSITARIOS,12:00:00,2
CULIACAN UNIVERSITARIOS,12:10:00,2
CULIACAN UNIVERSITARIOS,12:20:00,2
CULIACAN UNIVERSITARIOS,12:30:00,3
CULIACAN UNIVERSITARIOS,12:40:00,3
CULIACAN UNIVERSITARIOS,12:50:00,2
CULIACAN UNIVERSITARIOS,13:00:00,2
CULIACAN UNIVERSITARIOS,13:10:00,2
CULIACAN UNIVERSITARIOS,13:20:00,2
CULIACAN UNIVERSITARIOS,13:30:00,2
CULIACAN UNIVERSITARIOS,13:40:00,2
CULIACAN UNIVERSITARIOS,13:50:00,2
CULIACAN UNIVERSITARIOS,14:00:00,2
CULIACAN UNIVERSITARIOS,14:10:00,2
CULIACAN UNIVERSITARIOS,14:20:00,2
CULIACAN UNIVERSITARIOS,14:30:00,2
CULIACAN UNIVERSITARIOS,14:40:00,2
CULIACAN UNIVERSITARIOS,14:50:00,3
CULIACAN UNIVERSITARIOS,15:00:00,2
CULIACAN UNIVERSITARIOS,15:10:00,2
CULIACAN UNIVERSITARIOS,15:20:00,2
CULIACAN UNIVERSITARIOS,15:30:00,2
CULIACAN UNIVERSITARIOS,15:40:00,2
CULIACAN UNIVERSITARIOS,15:50:00,3
CULIACAN UNIVERSITARIOS,16:00:00,3
CULIACAN UNIVERSITARIOS,16:10:00,2
CULIACAN UNIVERSITARIOS,16:20:00,2
CULIACAN UNIVERSITARIOS,16:30:00,2
CULIACAN UNIVERSITARIOS,16:40:00,2
CULIACAN UNIVERSITARIOS,16:50:00,2
CULIACAN UNIVERSITARIOS,17:00:00,2
CULIACAN UNIVERSITARIOS,17:10:00,2
CULIACAN UNIVERSITARIOS,17:20:00,3
CULIACAN UNIVERSITARIOS,17:30:00,2
CULIACAN UNIVERSITARIOS,17:40:00,2
CULIACAN UNIVERSITARIOS,17:50:00,2
CULIACAN UNIVERSITARIOS,18:00:00,2
